address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
17-66 Wellington Street W,"{'RestaurantsPriceRange2': '2', 'WiFi': ""'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'Caters': 'False', 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",CSaB0_tKunqfcOqbw5FdAw,"Food, Coffee & Tea",Toronto,"{'Monday': '5:30-19:0', 'Tuesday': '5:30-19:0', 'Wednesday': '5:30-19:0', 'Thursday': '5:30-19:0', 'Friday': '5:30-19:0'}",1,43.647923,-79.381353,Starbucks,M5J 2W4,8,4.0,ON
139 Yorkville Ave,"{'RestaurantsTakeOut': 'True', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '1', 'WiFi': ""'free'"", 'HasTV': 'False', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True'}",X6Cgn59q3i3vK-lqzVY6gQ,"Cafes, Restaurants, Food, Coffee & Tea",Toronto,,1,43.7454374813,-79.4065709131,Starbucks,M5R 1C4,3,3.0,ON
"1 First Canadian Place, 77 Adelaide Street W","{'WiFi': ""'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'True'}",PNzGMlH0SnvIMxIESVNLgw,"Food, Coffee & Tea",Toronto,,1,43.64842,-79.3819,Starbucks,M5X 1C1,3,4.0,ON
1606-25 The West Mall,"{'NoiseLevel': ""u'loud'"", 'Caters': 'False', 'RestaurantsReservations': 'False', 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",jVJcR4y8q7FuwlK0cYVuyw,"Restaurants, Food, Cafes, Coffee & Tea",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '8:0-20:0'}",1,43.6128989614,-79.5557354906,Starbucks,M9C 1B8,15,3.0,ON
205 Humber College Boulevard,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False'}",POuD26KrQ_ssxKuSFfXY0A,"Coffee & Tea, Food, Bakeries",Toronto,"{'Monday': '7:30-17:0', 'Tuesday': '7:30-17:0', 'Wednesday': '7:30-17:0', 'Thursday': '7:30-17:0', 'Friday': '7:30-17:0'}",1,43.729443,-79.607311,Starbucks,M9W 5L7,6,2.5,ON
2201 Dundas St W,"{'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True'}",8zhQrSmdFFowL5fsGFPdpg,"Food, Coffee & Tea",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:30-21:30'}",1,43.6534629,-79.4514725,Starbucks,M6R 1X5,14,3.5,ON
"Yorkdale Shopping Center, 3401 Dufferin Street","{'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'DogsAllowed': 'False'}",0HIiowOQJgs46UL8Vt3lsQ,"Coffee & Tea, Food",Toronto,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '9:30-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",1,43.7254226167,-79.4521206528,Starbucks,M6A 2T9,18,3.0,ON
621 King Street W,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': None, 'street': True, 'validated': None, 'lot': None, 'valet': False}""}",XWmKkm9pjvGcONXjtQnLaw,"Food, Coffee & Tea",Toronto,"{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-22:0'}",1,43.6440961,-79.4011702,Starbucks,M5V 1K4,7,3.5,ON
3079-3081 Bloor Street W,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True'}",6nCcjMGRfpIiIi5JMgUNrg,"Coffee & Tea, Food",Toronto,"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:30', 'Saturday': '6:0-20:0', 'Sunday': '6:0-20:0'}",1,43.6465971,-79.5139148,Starbucks,M8X 1C7,10,3.0,ON
555 University Avenue,"{'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",_pPwJtNAos0Irk987FYNpg,"Cafes, Restaurants, Food, Coffee & Tea",Toronto,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,43.6570957,-79.3877344,Starbucks,M5G 1X8,15,4.5,ON
110 Bloor St W,"{'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""'free'"", 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}",Vl8PYZKd26DHGSi5rNo5SQ,"Cafes, Restaurants, Food, Coffee & Tea",Toronto,,1,43.6694504,-79.3922208,Starbucks,M5S 2W7,5,4.5,ON
"155 Wellington Street W, Suite 137","{'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'False'}",kmF4ghAzgUNlKj0qifeSRw,"Food, Coffee & Tea",Toronto,"{'Monday': '5:30-20:0', 'Tuesday': '5:30-20:0', 'Wednesday': '5:30-20:0', 'Thursday': '5:30-20:0', 'Friday': '5:30-20:0', 'Saturday': '7:0-20:0', 'Sunday': '7:0-18:0'}",1,43.6458894,-79.3857904,Starbucks,M5V 3H6,6,3.0,ON
1842 Queen St E,"{'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}",2iYGfGTI2Bm56rUaJfpZug,"Food, Coffee & Tea",Toronto,,1,43.668546,-79.307956,Starbucks,M4L 6T3,9,3.0,ON
1564 Royal York Road,"{'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'WiFi': ""'free'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",bD5sbDj_lMYnyUpbG3xm3Q,"Food, Coffee & Tea",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-23:0', 'Saturday': '6:0-23:0', 'Sunday': '6:0-22:0'}",1,43.6963388,-79.5333982,Starbucks,M9P 3C4,8,4.0,ON
47 Charles Street W,"{'WiFi': ""'free'"", 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True'}",3dY5ljdznVZPZun37v2PWQ,"Food, Coffee & Tea",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-21:0'}",1,43.668171,-79.3889187,Starbucks,M5S 1K5,13,3.5,ON
888 Danforth Avenue,"{'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False'}",1W5VSOsR6p4YFN8NHeNznA,"Food, Coffee & Tea",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '5:30-22:0', 'Wednesday': '5:30-22:0', 'Thursday': '5:30-22:0', 'Friday': '5:30-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:0-22:0'}",1,43.6800867595,-79.3396350369,Starbucks,M4J 1L9,8,3.0,ON
446 Spadina Road,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'Alcohol': ""u'none'"", 'WiFi': ""'free'"", 'NoiseLevel': ""u'loud'"", 'RestaurantsReservations': 'False', 'Caters': 'False', 'RestaurantsTableService': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2'}",26E-xm4fqOzSPATzy5n7-Q,"Coffee & Tea, Food, Cafes, Restaurants",Toronto,"{'Monday': '5:30-22:30', 'Tuesday': '5:30-22:30', 'Wednesday': '5:30-22:30', 'Thursday': '5:30-22:30', 'Friday': '5:30-23:0', 'Saturday': '5:30-23:0', 'Sunday': '5:30-23:0'}",1,43.6403364446,-79.3928522281,Starbucks,M5P 3M2,9,3.0,ON
"York Mills Centre, 4050 Yonge Street","{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}",jwKMRiXLqsMH0swc0boeNA,"Coffee & Tea, Food",Toronto,"{'Monday': '9:0-17:30', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-21:0', 'Sunday': '6:0-21:0'}",1,43.7446232281,-79.4064658578,Starbucks,M2P 2G2,7,3.5,ON
"Scotia Plaza, 40 King Street W, Unit M128","{'BikeParking': 'True', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'free'"", 'HasTV': 'True'}",BZInFfFFCne6n3zmzg8zzA,"Restaurants, Food, Coffee & Tea, Sandwiches, Bakeries",Toronto,"{'Monday': '5:30-19:0', 'Tuesday': '5:30-19:0', 'Wednesday': '5:30-19:0', 'Thursday': '5:30-19:0', 'Friday': '5:30-19:0'}",1,43.6497992662,-79.3793812386,Starbucks,M5H 3Y2,5,3.5,ON
106 Danforth Avenue,"{'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'BikeParking': 'True', 'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True'}",bd0PmUIJj8AWagSI7E-cIA,"Coffee & Tea, Food",Toronto,"{'Monday': '6:0-22:30', 'Tuesday': '6:0-22:30', 'Wednesday': '6:0-22:30', 'Thursday': '6:0-22:30', 'Friday': '6:0-22:30', 'Saturday': '6:0-23:0', 'Sunday': '6:0-23:0'}",1,43.6765666,-79.3583645,Starbucks,M4K 1N1,4,5.0,ON
878 Eglinton Avenue E,"{'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'free'"", 'BikeParking': 'True', 'Caters': 'True'}",-Mu6qCYjrcvBgwIhLoh08g,"Coffee & Tea, Food",Toronto,"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-18:0', 'Friday': '8:0-15:0', 'Saturday': '8:0-18:0', 'Sunday': '7:0-21:0'}",1,43.7137393,-79.3650136,Starbucks,M4G 2L1,5,3.5,ON
"150 Parklawn Road, Unit A","{'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""'free'"", 'OutdoorSeating': 'True', 'HasTV': 'False', 'Caters': 'True', 'RestaurantsAttire': ""u'casual'""}",zvOy4znhODeXleiublTsRg,"Cafes, Restaurants, Food, Coffee & Tea",Toronto,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,43.6279314,-79.4893928,Starbucks,M8Y 0B6,17,3.5,ON
908 Queen Street E,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True'}",WkvwNOJQcg3awIFwqCkQWA,"Coffee & Tea, Food",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:30-22:0'}",1,43.6606740478,-79.3424128435,Starbucks,M4M 1J5,11,3.0,ON
255 Morningside Avenue,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}",1SoRfuanThvBDYZEQSsePg,"Coffee & Tea, Food",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:30-22:0', 'Sunday': '7:0-22:0'}",1,43.7703467469,-79.1864501134,Starbucks,M1E 2N7,16,2.5,ON
1960 Queen Street E,"{'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'HasTV': 'False', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True'}",l0jSI_t4rm4Q3zb74mp0Kg,"Restaurants, Food, Cafes, Coffee & Tea",Toronto,"{'Monday': '5:30-21:30', 'Tuesday': '5:30-21:30', 'Wednesday': '5:30-21:30', 'Thursday': '5:30-21:30', 'Friday': '5:30-21:30', 'Saturday': '5:30-21:30', 'Sunday': '5:30-21:30'}",1,43.669736,-79.3020569,Starbucks,M4L 1J2,8,3.0,ON
3559 Lake Shore Boulevard W,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'free'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'True', 'Caters': 'True', 'RestaurantsTakeOut': 'True'}",sFX77sPr_VM8TTaTE6vuZg,"Internet Cafes, Food, Coffee & Tea",Toronto,"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:0', 'Saturday': '6:0-21:0', 'Sunday': '7:0-20:0'}",1,43.5944134064,-79.5333289431,Starbucks,M8W 1P4,10,4.0,ON
394 Bay Street,"{'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True'}",Q-nziRgGBgPnJA0k90mwpw,"Coffee & Tea, American (New), Restaurants, Food",Toronto,"{'Monday': '6:0-20:0', 'Tuesday': '6:0-20:0', 'Wednesday': '6:0-20:0', 'Thursday': '6:0-20:0', 'Friday': '6:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-21:0'}",0,43.6517599,-79.3816391,Starbucks,M5H 2Y3,11,4.0,ON
600 Fleet Street,"{'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '3'}",IQUToybv1zwwyHAUr-mI5w,"Food, Coffee & Tea",Toronto,"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",1,43.6366681,-79.4004451,Starbucks,M5V 1B7,3,4.0,ON
224 Wellington Street W,"{'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'WiFi': ""'free'"", 'BikeParking': 'True', 'Caters': 'True'}",svO3y8mxG52JHlJgJyus6Q,"Food, Coffee & Tea",Toronto,,1,43.6453090943,-79.3892582043,Starbucks,M5V 3W1,8,4.0,ON
2293 Yonge Street,"{'NoiseLevel': ""u'quiet'"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '3', 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'GoodForKids': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'BikeParking': 'True', 'RestaurantsDelivery': 'False'}",xYXXe5tikoTEH-g1O0uUdQ,"Cafes, Restaurants, Food, Coffee & Tea",Toronto,"{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-23:0', 'Saturday': '6:30-23:0', 'Sunday': '6:30-22:0'}",0,43.7075928,-79.3982562,Starbucks,M4P 2C6,4,3.5,ON
444 Eglinton Ave W,"{'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True'}",cPeDObAgbvJnEz-68mV53Q,"Coffee & Tea, Food",Toronto,,1,43.7041712,-79.411887,Starbucks,M5N 1A5,7,3.0,ON
185 King Street E,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}",t3iIZOWLt4SiV-Xwnk0IcQ,"Coffee & Tea, Food",Toronto,,0,43.6505091,-79.3707584,Starbucks,M5A 1J4,14,3.5,ON
"220 Yonge St, Unit YG-18","{'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",QOoQ5F9K0SAC0suH9hOMWw,"Restaurants, Food, Cafes, Coffee & Tea",Toronto,,1,43.6540644,-79.3806966,Starbucks,M5B 2H1,5,3.5,ON
1090 Don Mills Road,"{'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'Caters': 'False'}",iLPDJsSBF5n_YGBJu3bgOQ,"Food, Coffee & Tea, Sandwiches, Restaurants, Internet Cafes",Toronto,"{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-23:30', 'Saturday': '6:30-23:30', 'Sunday': '7:0-22:0'}",0,43.7340274,-79.3439154,Starbucks,M3C 3R6,13,3.0,ON
66 Gerrard St E,"{'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True'}",VtvX7_l85VrSTfTA4vqsaA,"Coffee & Tea, Food",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-22:0'}",1,43.6600471,-79.3788023,Starbucks,M5B 1G3,9,3.5,ON
1997 Bloor St W,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""'free'""}",2qw3XYmMXX4qDHNrznts3A,"Food, Coffee & Tea",Toronto,,0,43.6521306,-79.4708218,Starbucks,M6S 1M4,5,3.0,ON
732 Queen Street W,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'WiFi': ""'free'"", 'OutdoorSeating': 'True'}",8IqwuXBUd-qJA3ruLOAN5A,"Coffee & Tea, Food",Toronto,,0,43.6462841,-79.4098376,Starbucks,M6J 1E9,3,1.5,ON
504 St. Clair Avenue W,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'""}",WFq0VNN0L5Nw4bcz6AJ57g,"Cafes, Coffee & Tea, Restaurants, Food",Toronto,,1,43.6832943221,-79.4185348114,Starbucks,M5R 3E9,14,3.0,ON
"686 Bay Street, Unit 3","{'WiFi': ""'free'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",Fjh0c4wkE2hkoBqxwaRuxg,"Food, Bakeries, Coffee & Tea",Toronto,"{'Tuesday': '6:30-21:0', 'Wednesday': '6:30-21:0', 'Thursday': '6:30-21:0', 'Friday': '6:30-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",1,43.6574832262,-79.3845950278,Starbucks,M5G 0A4,4,4.0,ON
55 Harbord Street,"{'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}",X2rYGuaK2QN0cSROGC_1pw,"Food, Coffee & Tea",Toronto,"{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '9:0-18:0', 'Sunday': '9:0-18:0'}",0,43.6628599,-79.4010365,Starbucks,M5S 2W6,5,2.0,ON
